ample,/ˈæmpl/,= abundant: dồi dào phong phú,adjective,There is ample time to finish the work. (Có nhiều thời gian để hoàn thành công việc.),Từ đồng nghĩa: Phần 2
amusement,/əˈmjuːzmənt/,= entertainment: vui chơi giải trí,noun,The amusement park is crowded today. (Công viên giải trí hôm nay rất đông.),Từ đồng nghĩa: Phần 2
analogous,/əˈnæləɡəs/,= similar: tương tự,adjective,The two problems are analogous. (Hai vấn đề này tương tự nhau.),Từ đồng nghĩa: Phần 2
analysis,/əˈnæləsɪs/,= examination: phân tích = kiểm tra,noun,The analysis shows an increase in sales. (Phân tích cho thấy doanh số tăng.),Từ đồng nghĩa: Phần 2
anchor,/ˈæŋkər/,= hold in a place: giữ ở một nơi,verb,Large stones anchored the tent. (Những tảng đá lớn giữ cố định chiếc lều.),Từ đồng nghĩa: Phần 2
annoying,/əˈnɔɪɪŋ/,= bothersome: phiền toái khó chịu,adjective,The noise outside is very annoying. (Tiếng ồn bên ngoài rất phiền toái.),Từ đồng nghĩa: Phần 2
annually,/ˈænjuəli/,= yearly: hàng năm,adverb,The festival is held annually. (Lễ hội được tổ chức hằng năm.),Từ đồng nghĩa: Phần 2
antecedent,/ˌæntɪˈsiːdnt/,= predecessor: tiền thân = trước,noun,The antecedent device was much slower. (Thiết bị tiền thân chậm hơn nhiều.),Từ đồng nghĩa: Phần 2
anticipated,/ænˈtɪsɪpeɪtɪd/,= expected: dự đoán dự kiến,adjective,The anticipated results were accurate. (Kết quả dự kiến đã chính xác.),Từ đồng nghĩa: Phần 2
antiquated,/ˈæntɪkweɪtɪd/,= outmoded: cũ/ đã lạc hậu,adjective,This machine is antiquated. (Chiếc máy này đã lạc hậu.),Từ đồng nghĩa: Phần 2
anxious,/ˈæŋkʃəs/,= eager: lo lắng = háo hức,adjective,He is anxious to start the job. (Anh ấy háo hức bắt đầu công việc.),Từ đồng nghĩa: Phần 2
apart from,/əˈpɑːrt frʌm/,= except: ngoài = trừ,preposition,"Apart from the rain, the trip was perfect. (Ngoài mưa ra, chuyến đi rất hoàn hảo.)",Từ đồng nghĩa: Phần 2
apparently,/əˈpærəntli/,= seemingly: dường như/ có vẻ,adverb,"Apparently, he didn’t understand. (Dường như anh ấy không hiểu.)",Từ đồng nghĩa: Phần 2
appeal,/əˈpiːl/,= attraction/popularity: hấp dẫn = thu hút/ phổ biến,noun,The product has wide appeal. (Sản phẩm này có sức hút lớn.),Từ đồng nghĩa: Phần 2
inhabitants,/ɪnˈhæbɪtənts/,= population: dân cư = dân số,noun,The city has over one million inhabitants. (Thành phố có hơn một triệu dân.),Từ đồng nghĩa: Phần 2
appealing,/əˈpiːlɪŋ/,= alluring: hấp dẫn quyến rũ,adjective,The design is very appealing. (Thiết kế rất cuốn hút.),Từ đồng nghĩa: Phần 2
appearance,/əˈpɪrəns/,= turn up: xuất hiện,noun,Her sudden appearance surprised everyone. (Sự xuất hiện bất ngờ của cô ấy khiến mọi người ngạc nhiên.),Từ đồng nghĩa: Phần 2
aquatic,/əˈkwætɪk/,= marine: thủy = biển,adjective,Aquatic animals live in water. (Động vật thủy sinh sống dưới nước.),Từ đồng nghĩa: Phần 2
arbitrarily,/ˌɑːrbɪˈtrerəli/,= without any order: tùy tiện/ không cần bất kỳ thứ tự,adverb,The files were placed arbitrarily. (Các tập tin được đặt một cách tùy tiện.),Từ đồng nghĩa: Phần 2
arbitrary,/ˈɑːrbɪtreri/,= haphazard: tùy ý = lung tung,adjective,His decisions seem arbitrary. (Quyết định của anh ta có vẻ tùy ý.),Từ đồng nghĩa: Phần 2
archaic,/ɑːrˈkeɪɪk/,= ancient: cổ xưa,adjective,Some archaic laws are still in effect. (Một số luật cổ xưa vẫn còn hiệu lực.),Từ đồng nghĩa: Phần 2
arid,/ˈærɪd/,= dry: khô/ cằn khô,adjective,Plants struggle in arid climates. (Cây cối gặp khó khăn trong khí hậu khô cằn.),Từ đồng nghĩa: Phần 2
array,/əˈreɪ/,= range: phạm vi,noun,They offer a wide array of services. (Họ cung cấp một phạm vi dịch vụ rộng.),Từ đồng nghĩa: Phần 2
as well,/æz wel/,= in addition: cũng = ngoài ra,adverb,He speaks French as well. (Anh ấy cũng nói tiếng Pháp.),Từ đồng nghĩa: Phần 2
ascribed to,/əˈskraɪbd tuː/,= assumed to be true of: gán cho = giả định là đúng,verb,The quote was wrongly ascribed to him. (Câu nói bị gán nhầm cho anh ta.),Từ đồng nghĩa: Phần 2
assess,/əˈses/,= evaluate: đánh giá = đánh giá,verb,We need to assess the situation. (Chúng ta cần đánh giá tình hình.),Từ đồng nghĩa: Phần 2
assigned,/əˈsaɪnd/,= specified/studied specified: xác định/ được nghiên cứu/ được quy định,adjective,The assigned task is difficult. (Nhiệm vụ được giao rất khó.),Từ đồng nghĩa: Phần 2
assortments,/əˈsɔːrtmənts/,= selections: chủng loại,noun,The store has various assortments of tea. (Cửa hàng có nhiều loại trà khác nhau.),Từ đồng nghĩa: Phần 2
astounding,/əˈstaʊndɪŋ/,= astonishing: đáng kinh ngạc,adjective,The results are astounding. (Kết quả thật đáng kinh ngạc.),Từ đồng nghĩa: Phần 2
astute,/əˈstuːt/,= perceptive: khôn ngoan sâu sắc,adjective,She made an astute decision. (Cô ấy đã đưa ra một quyết định khôn ngoan.),Từ đồng nghĩa: Phần 2
at bay,/æt beɪ/,= under control: đường cùng >< dưới sự kiểm soát,phrase,The disease was kept at bay. (Căn bệnh đã bị kiểm soát.),Từ đồng nghĩa: Phần 2
at least,/ət liːst/,= at the minimum: ít nhất = tối thiểu,phrase,We need at least two hours. (Chúng ta cần ít nhất hai giờ.),Từ đồng nghĩa: Phần 2
atmosphere,/ˈætməsfɪr/,= air: bầu không khí,noun,The atmosphere was cheerful. (Bầu không khí vui vẻ.),Từ đồng nghĩa: Phần 2
attachment to,/əˈtætʃmənt tuː/,= preference for: kèm theo = ưu tiên cho,noun,He has a strong attachment to his hometown. (Anh ấy có sự gắn bó mạnh mẽ với quê nhà.),Từ đồng nghĩa: Phần 2
attain,/əˈteɪn/,= reach: đạt = đạt,verb,She attained her goals. (Cô ấy đã đạt được mục tiêu.),Từ đồng nghĩa: Phần 2
attendant,/əˈtendənt/,= accompanying: đi kèm,adjective,The flight attendant helped the passengers. (Tiếp viên hàng không đã giúp đỡ hành khách.),Từ đồng nghĩa: Phần 2
attest,/əˈtest/,= give evidence to: đưa ra bằng chứng,verb,These documents attest to his innocence. (Những tài liệu này chứng minh sự vô tội của anh ấy.),Từ đồng nghĩa: Phần 2
attributed,/əˈtrɪbjuted/,= credited: đóng góp/ là do cái gì,verb,The success was attributed to teamwork. (Thành công có được là nhờ làm việc nhóm.),Từ đồng nghĩa: Phần 2
attribution,/ˌætrɪˈbjuːʃn/,= character: nhân vật,noun,The attribution of the quote is unknown. (Nguồn gốc của câu nói không được biết.),Từ đồng nghĩa: Phần 2
authorized,/ˈɔːθəraɪzd/,= empowered: ủy quyền trao quyền,verb,Only authorized personnel may enter. (Chỉ nhân viên có ủy quyền mới được vào.),Từ đồng nghĩa: Phần 2
autonomous,/ɔːˈtɑːnəməs/,= independent: tự trị/ độc lập,adjective,The region became autonomous. (Khu vực trở nên tự trị.),Từ đồng nghĩa: Phần 2
available,/əˈveɪləbl/,= obtainable: sẵn = đạt được,adjective,The product is available online. (Sản phẩm có sẵn trên mạng.),Từ đồng nghĩa: Phần 2
avenue,/ˈævənuː/,= means: địa điểm = phương tiện,noun,Education is an avenue for success. (Giáo dục là một phương tiện dẫn đến thành công.),Từ đồng nghĩa: Phần 2
avert,/əˈvɜːrt/,= avid: ngoảnh đi >< thích háo hức cái gì,verb,She averted her eyes. (Cô ấy ngoảnh mặt đi.),Từ đồng nghĩa: Phần 2
baffle,/ˈbæfl/,= puzzle: trở ngại/ thách thức,verb,The question baffled the students. (Câu hỏi làm học sinh bối rối.),Từ đồng nghĩa: Phần 2
banks,/bæŋks/,= edges: bờ/ rìa,noun,The river banks were flooded. (Bờ sông bị ngập.),Từ đồng nghĩa: Phần 2
barge,/bɑːrdʒ/,= trade: thương mại,noun,The company deals in barge transport. (Công ty kinh doanh vận tải đường thủy.),Từ đồng nghĩa: Phần 2
barging,/ˈbɑːrdʒɪŋ/,= trading: vận tải thủy = giao dịch,noun,Barging is common in this region. (Vận tải thủy rất phổ biến ở khu vực này.),Từ đồng nghĩa: Phần 2
barren,/ˈbærən/,= empty: trống rỗng/ không có kết quả gì,adjective,The land is barren. (Mảnh đất này cằn cỗi.),Từ đồng nghĩa: Phần 2
barrier,/ˈbæriər/,= obstacle: rào cản trở ngại,noun,Language can be a barrier. (Ngôn ngữ có thể là một rào cản.),Từ đồng nghĩa: Phần 2
barter,/ˈbɑːrtər/,= trading: giao dịch,verb,They bartered goods for food. (Họ trao đổi hàng hóa lấy thức ăn.),Từ đồng nghĩa: Phần 2
basking,/ˈbæskɪŋ/,= lying: phơi = nằm,verb,The cat was basking in the sun. (Con mèo đang nằm phơi nắng.),Từ đồng nghĩa: Phần 2
be designed to,/bi dɪˈzaɪnd tuː/,= intended to: được thiết kế để = dành cho,verb,This tool is designed to cut metal. (Công cụ này được thiết kế để cắt kim loại.),Từ đồng nghĩa: Phần 2
bears,/berz/,= produces: sản xuất,verb,The tree bears fruit in summer. (Cây ra quả vào mùa hè.),Từ đồng nghĩa: Phần 2
beckon,/ˈbekən/,= invite: gật đầu ra hiệu = mời,verb,He beckoned me to come closer. (Anh ấy ra hiệu tôi lại gần.),Từ đồng nghĩa: Phần 2
beckoning,/ˈbekənɪŋ/,= inviting: vẫy tay gọi mời,adjective,She gave him a beckoning wave. (Cô ấy vẫy tay mời gọi anh ấy.),Từ đồng nghĩa: Phần 2
recently,/ˈriːsəntli/,Gần đây,adv,I recently moved to a new apartment. (Tôi mới dọn đến một căn hộ mới gần đây.),Ngữ pháp: Trạng từ
regularly,/ˈreɡjələrli/,Thường xuyên,adv,She exercises regularly to stay healthy. (Cô ấy tập thể dục thường xuyên để giữ sức khỏe.),Ngữ pháp: Trạng từ
relatively small,/ˈrelətɪvli smɔːl/,Tương đối nhỏ,adj,The company is still relatively small. (Công ty vẫn còn tương đối nhỏ.),Ngữ pháp: Trạng từ
approximately,/əˈprɒksɪmətli/,Xấp xỉ,adv,The project will take approximately two months. (Dự án sẽ mất khoảng hai tháng.),Ngữ pháp: Trạng từ
directly,/dɪˈrektli/,Trực tiếp,adv,Please contact me directly. (Vui lòng liên hệ trực tiếp với tôi.),Ngữ pháp: Trạng từ
share externally,/ʃeər ɛkˈstɜːnəli/,Chia sẻ ra bên ngoài,v,We should not share this document externally. (Chúng ta không nên chia sẻ tài liệu này ra bên ngoài.),Ngữ pháp: Trạng từ
shortly soon,/ˈʃɔːtli suːn/,Sớm,adv,The manager will arrive shortly. (Quản lý sẽ đến sớm thôi.),Ngữ pháp: Trạng từ
significantly,/sɪɡˈnɪfɪkəntli/,Đáng kể,adv,Sales increased significantly last quarter. (Doanh số đã tăng đáng kể vào quý trước.),Ngữ pháp: Trạng từ
simply,/ˈsɪmpli/,Đơn giản,adv,Simply follow the instructions. (Chỉ cần làm theo hướng dẫn.),Ngữ pháp: Trạng từ
slightly different,/ˈslaɪtli ˈdɪfrənt/,Khác biệt nhẹ,adj,The two products are slightly different. (Hai sản phẩm hơi khác nhau.),Ngữ pháp: Trạng từ
steadily increase,/ˈstedəli ɪnˈkriːs/,Tăng nhanh,adv+v,The population is steadily increasing. (Dân số đang tăng đều.),Ngữ pháp: Trạng từ
suddenly,/ˈsʌdənli/,Đột ngột,adv,The lights suddenly went out. (Đèn đột ngột tắt.),Ngữ pháp: Trạng từ
surprisingly short,/səˈpraɪzɪŋli ʃɔːt/,Rất ngắn,adj,The meeting was surprisingly short. (Cuộc họp ngắn bất ngờ.),Ngữ pháp: Trạng từ
temporarily,/ˌtɛmpəˈrɛrəli/,Tạm thời,adv,The system is temporarily unavailable. (Hệ thống tạm thời không khả dụng.),Ngữ pháp: Trạng từ
thoroughly prepare,/ˈθʌrəli prɪˈpeər/,Chuẩn bị kỹ lưỡng,v,We need to thoroughly prepare for the presentation. (Chúng ta cần chuẩn bị kỹ lưỡng cho buổi thuyết trình.),Ngữ pháp: Trạng từ
ultimately,/ˈʌltɪmətli/,Cuối cùng,adv,"Ultimately, the decision is yours. (Cuối cùng, quyết định là của bạn.)",Ngữ pháp: Trạng từ
virtually,/ˈvɜːtʃuəli/,Gần như,adv,The two products are virtually identical. (Hai sản phẩm gần như giống hệt nhau.),Ngữ pháp: Trạng từ
widely known,/ˈwaɪdli nəʊn/,Được biết đến rộng rãi,adj,He is widely known for his research. (Anh ấy được biết đến rộng rãi nhờ nghiên cứu của mình.),Ngữ pháp: Trạng từ
work closely with sb,/wɜːk ˈkləʊsli/,Làm việc gần gũi,v,We work closely with our partners. (Chúng tôi làm việc chặt chẽ với các đối tác.),Ngữ pháp: Trạng từ
write clearly,/raɪt ˈklɪəli/,Viết rõ ràng,v,Please write clearly on the form. (Hãy viết rõ ràng vào biểu mẫu.),Ngữ pháp: Trạng từ
absolutely,/ˈæbsəluːtli/,Hoàn toàn,adv,I absolutely agree with you. (Tôi hoàn toàn đồng ý với bạn.),Ngữ pháp: Trạng từ
accordingly,/əˈkɔːdɪŋli/,Phù hợp/do đó/vì vậy,adv,We must act accordingly. (Chúng ta phải hành động cho phù hợp.),Ngữ pháp: Trạng từ
adversely,/ˈædvɜːsli/,Bất lợi,adv,The weather adversely affected production. (Thời tiết ảnh hưởng bất lợi đến sản xuất.),Ngữ pháp: Trạng từ
already,/ɔːlˈredi/,Rồi,adv,I’ve already finished the report. (Tôi đã hoàn thành báo cáo rồi.),Ngữ pháp: Trạng từ
also,/ˈɔːlsəʊ/,Cũng,adv,She also speaks French. (Cô ấy cũng nói tiếng Pháp.),Ngữ pháp: Trạng từ
automatically,/ˌɔːtəˈmætɪkli/,Một cách tự động,adv,The system will restart automatically. (Hệ thống sẽ khởi động lại tự động.),Ngữ pháp: Trạng từ
briefly,/ˈbriːfli/,Vắn tắt ngắn gọn,adv,He explained the plan briefly. (Anh ấy giải thích kế hoạch một cách ngắn gọn.),Ngữ pháp: Trạng từ
carefully,/ˈkeəfəli/,Cẩn thận,adv,Please read the contract carefully. (Hãy đọc hợp đồng thật cẩn thận.),Ngữ pháp: Trạng từ
cautiously,/ˈkɔːʃəsli/,Thận trọng,adv,He drove cautiously in the fog. (Anh ấy lái xe cẩn thận trong sương mù.),Ngữ pháp: Trạng từ
certainly,/ˈsɜːtnli/,Chắc chắn,adv,I will certainly help you. (Tôi chắc chắn sẽ giúp bạn.),Ngữ pháp: Trạng từ
clearly,/ˈklɪəli/,Rõ ràng,adv,She spoke clearly during the meeting. (Cô ấy nói rất rõ ràng trong cuộc họp.),Ngữ pháp: Trạng từ
closely,/ˈkləʊsli/,Gần gũi,adv,The two issues are closely related. (Hai vấn đề có liên quan mật thiết.),Ngữ pháp: Trạng từ
